"","Sample.ID","User.ID","Date","Time","Gain","Conc.","Units","Norm..coeff.","Formula","RFU","nm1","LED","Day","TimeStamp","relTimeStamp","BaseName","BaseName2"
"9","1%-1","Default","3/23/2015","9:00 AM",0.76,NA,"RFU",1,"nm1",25626.9,514,"Blue",0,(03/23/15 09:00:00),3.472222e-03,"1%","1%"
"12","10%-1","Default","3/23/2015","9:01 AM",0.04,NA,"RFU",1,"nm1",258074,514,"Blue",0,(03/23/15 09:01:00),4.166667e-03,"10%","10%"
"3",".01%-1","Default","3/23/2015","8:56 AM",10,NA,"RFU",1,"nm1",185.1,514,"Blue",0,(03/23/15 08:56:00),6.944444e-04,".01%",".01%"
"6",".1%-1","Default","3/23/2015","8:58 AM",6.96,NA,"RFU",1,"nm1",2661,514,"Blue",0,(03/23/15 08:58:00),2.083333e-03,".1%",".1%"
"5",".0001%-1","Default","3/23/2015","8:55 AM",10,NA,"RFU",1,"nm1",0,514,"Blue",0,(03/23/15 08:55:00),0.000000e+00,".0001%",".0001%"
"2",".001%-1","Default","3/23/2015","8:55 AM",10,NA,"RFU",1,"nm1",0,514,"Blue",0,(03/23/15 08:55:00),0.000000e+00,".001%",".001%"
"15","Blank-1","Default","3/23/2015","9:04 AM",10,NA,"RFU",1,"nm1",1675.5,514,"Blue",0,(03/23/15 09:04:00),6.250000e-03,"Blank","Blank"
"19","Meas-A1-1","Default","3/23/2015","9:08 AM",10,NA,"RFU",1,"nm1",0,514,"Blue",0,(03/23/15 09:08:00),9.027778e-03,"Meas-A1","A1"
"20","Meas-A2-1","Default","3/23/2015","9:08 AM",10,NA,"RFU",1,"nm1",146.7,514,"Blue",0,(03/23/15 09:08:00),9.027778e-03,"Meas-A2","A2"
"22","Meas-A3-1","Default","3/23/2015","9:10 AM",10,NA,"RFU",1,"nm1",217.2,514,"Blue",0,(03/23/15 09:10:00),1.041667e-02,"Meas-A3","A3"
"23","Meas-A4-1","Default","3/23/2015","9:10 AM",10,NA,"RFU",1,"nm1",27.5,514,"Blue",0,(03/23/15 09:10:00),1.041667e-02,"Meas-A4","A4"
"24","Meas-A5-1","Default","3/23/2015","9:11 AM",10,NA,"RFU",1,"nm1",43.3,514,"Blue",0,(03/23/15 09:11:00),1.111111e-02,"Meas-A5","A5"
"25","Meas-A6-1","Default","3/23/2015","9:12 AM",10,NA,"RFU",1,"nm1",0,514,"Blue",0,(03/23/15 09:12:00),1.180556e-02,"Meas-A6","A6"
"26","Meas-A7-1","Default","3/23/2015","9:12 AM",10,NA,"RFU",1,"nm1",0,514,"Blue",0,(03/23/15 09:12:00),1.180556e-02,"Meas-A7","A7"
"27","Meas-A8-1","Default","3/23/2015","9:13 AM",10,NA,"RFU",1,"nm1",223.8,514,"Blue",0,(03/23/15 09:13:00),1.250000e-02,"Meas-A8","A8"
"29","Meas-A9-1","Default","3/23/2015","9:14 AM",10,NA,"RFU",1,"nm1",74.6,514,"Blue",0,(03/23/15 09:14:00),1.319444e-02,"Meas-A9","A9"
"30","Meas-A10-1","Default","3/23/2015","9:15 AM",10,NA,"RFU",1,"nm1",319.9,514,"Blue",0,(03/23/15 09:15:00),1.388889e-02,"Meas-A10","A10"
"31","Meas-A11-1","Default","3/23/2015","9:16 AM",10,NA,"RFU",1,"nm1",0,514,"Blue",0,(03/23/15 09:16:00),1.458333e-02,"Meas-A11","A11"
"32","Meas-A12-1","Default","3/23/2015","9:16 AM",10,NA,"RFU",1,"nm1",0,514,"Blue",0,(03/23/15 09:16:00),1.458333e-02,"Meas-A12","A12"
"33","Meas-A13-1","Default","3/23/2015","9:17 AM",10,NA,"RFU",1,"nm1",0,514,"Blue",0,(03/23/15 09:17:00),1.527778e-02,"Meas-A13","A13"
"34","Meas-A14-1","Default","3/23/2015","9:18 AM",10,NA,"RFU",1,"nm1",0,514,"Blue",0,(03/23/15 09:18:00),1.597222e-02,"Meas-A14","A14"
"35","Meas-A15-1","Default","3/23/2015","9:18 AM",10,NA,"RFU",1,"nm1",0,514,"Blue",0,(03/23/15 09:18:00),1.597222e-02,"Meas-A15","A15"
"36","Meas-A16-1","Default","3/23/2015","9:19 AM",10,NA,"RFU",1,"nm1",0,514,"Blue",0,(03/23/15 09:19:00),1.666667e-02,"Meas-A16","A16"
"37","Meas-A17-1","Default","3/23/2015","9:20 AM",10,NA,"RFU",1,"nm1",0,514,"Blue",0,(03/23/15 09:20:00),1.736111e-02,"Meas-A17","A17"
"38","Meas-A18-1","Default","3/23/2015","9:22 AM",10,NA,"RFU",1,"nm1",0.1,514,"Blue",0,(03/23/15 09:22:00),1.875000e-02,"Meas-A18","A18"
"39","Meas-A19-1","Default","3/23/2015","9:23 AM",10,NA,"RFU",1,"nm1",205.6,514,"Blue",0,(03/23/15 09:23:00),1.944444e-02,"Meas-A19","A19"
"40","Meas-A20-1","Default","3/23/2015","9:24 AM",10,NA,"RFU",1,"nm1",0,514,"Blue",0,(03/23/15 09:24:00),2.013889e-02,"Meas-A20","A20"
"41","Meas-A21-1","Default","3/23/2015","9:24 AM",10,NA,"RFU",1,"nm1",0,514,"Blue",0,(03/23/15 09:24:00),2.013889e-02,"Meas-A21","A21"
"42","Meas-A22-1","Default","3/23/2015","9:25 AM",10,NA,"RFU",1,"nm1",0,514,"Blue",0,(03/23/15 09:25:00),2.083333e-02,"Meas-A22","A22"
"43","Meas-A23-1","Default","3/23/2015","9:26 AM",10,NA,"RFU",1,"nm1",0,514,"Blue",0,(03/23/15 09:26:00),2.152778e-02,"Meas-A23","A23"
"44","Meas-A24-1","Default","3/23/2015","9:26 AM",10,NA,"RFU",1,"nm1",0,514,"Blue",0,(03/23/15 09:26:00),2.152778e-02,"Meas-A24","A24"
"45","Meas-A25-1","Default","3/23/2015","9:27 AM",10,NA,"RFU",1,"nm1",19.5,514,"Blue",0,(03/23/15 09:27:00),2.222222e-02,"Meas-A25","A25"
"46","Meas-A26-1","Default","3/23/2015","9:27 AM",10,NA,"RFU",1,"nm1",0,514,"Blue",0,(03/23/15 09:27:00),2.222222e-02,"Meas-A26","A26"
"47","Meas-A27-1","Default","3/23/2015","9:28 AM",10,NA,"RFU",1,"nm1",0,514,"Blue",0,(03/23/15 09:28:00),2.291667e-02,"Meas-A27","A27"
"48","Meas-A28-1","Default","3/23/2015","9:28 AM",10,NA,"RFU",1,"nm1",134.5,514,"Blue",0,(03/23/15 09:28:00),2.291667e-02,"Meas-A28","A28"
"49","Meas-A29-1","Default","3/23/2015","9:29 AM",10,NA,"RFU",1,"nm1",149.5,514,"Blue",0,(03/23/15 09:29:00),2.361111e-02,"Meas-A29","A29"
"51","Meas-A30-1","Default","3/23/2015","9:30 AM",10,NA,"RFU",1,"nm1",0,514,"Blue",0,(03/23/15 09:30:00),2.430556e-02,"Meas-A30","A30"
