Location	Sample	Analyte 28	Analyte 33	Analyte 39	Total Events	Mouse	Side	IO	Duration_day
41(1,A6)	Unknown1	24	7	1122	1560	27	L	O	10
42(1,B6)	Unknown2	204	7	310	1176	28	L	O	10
43(1,C6)	Unknown3	310	7	574	1296	29	L	O	10
44(1,D6)	Unknown4	98	7	64	1263	30	L	O	3
45(1,E6)	Unknown5	121	7	642	1235	31	L	O	3
46(1,F6)	Unknown6	85	7	81	1210	32	L	O	1
47(1,G6)	Unknown7	55	7	826	956	33	L	O	1
50(1,B7)	Unknown8	463	7	1538	620	28	L	I	10
51(1,C7)	Unknown9	13214	483	21401	1227	29	L	I	10
53(1,E7)	Unknown10	16883	37	21835	1128	31	L	I	3
54(1,F7)	Unknown11	14180	138.5	18816	1079	32	L	I	1
55(1,G7)	Unknown12	9442	2788	17735	1099	33	L	I	1
58(1,B8)	Unknown13	117.5	7	599	1210	28	R	O	10
59(1,C8)	Unknown14	276	7	188	1079	29	R	O	10
60(1,D8)	Unknown15	2468	13	6661.5	1134	30	R	O	3
61(1,E8)	Unknown16	141	7	1310	1313	31	R	O	3
62(1,F8)	Unknown17	143.5	7	94	841	32	R	O	1
63(1,G8)	Unknown18	54	6	120	810	33	R	O	1
65(1,A9)	Unknown19	1999	14	16377.5	1385	27	R	I	10
66(1,B9)	Unknown20	18211	869	18839	1162	28	R	I	10
67(1,C9)	Unknown21	15333.5	838	22571	1237	29	R	I	10
68(1,D9)	Unknown22	17127	445	19506.5	1278	30	R	I	3
69(1,E9)	Unknown23	10065	94	20980	1144	31	R	I	3
70(1,F9)	Unknown24	6056	51	17510	1111	32	R	I	1
71(1,G9)	Unknown25	22	7	382.5	898	27	R	O	10
