"Program","xPONENT","","MAGPIX"
"Build","4.2.1324.0"
"Date","12/2/2015","5:54 PM"

"SN","MAGPX12241704"
"Batch","Jay John Mic 27-33 - 20160205 Batch3"
"Version","1"
"Operator",""
"ComputerName","MAGPIX-PC"
"Country Code","409"
"ProtocolName","Jay John Mice 27-33 - 20160205"
"ProtocolVersion","1"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleVolume","50 uL"
"SampleWash","Off"
"BatchStartTime","12/2/2015 5:59:58 PM"
"BatchStopTime","12/2/2015 6:29:03 PM"
"BatchDescription","<None>"
"ProtocolPlate","Name","Current 96-well plate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","3"
"ProtocolReporterGain","N/A"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 1/29/2016 1:58:30 PM"
"Last VER Verification","Passed 1/29/2016 1:59:37 PM"
"Last Fluidics Test","Passed 1/29/2016 2:01:03 PM"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"B47733","5/7/2017","1/29/2016 1:58:30 PM","23.1","23.1","23.1","23.1","309","358","388","388","0.00699","0.00698","0.00385","0.11513","Pass","MAGPX12241704"


"Samples","49","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","Analyte 28","Analyte 33","Analyte 39","Total Events"
"41(1,A6)","Unknown1","24","7","1122","1560"
"42(1,B6)","Unknown2","204","7","310","1176"
"43(1,C6)","Unknown3","310","7","574","1296"
"44(1,D6)","Unknown4","98","7","64","1263"
"45(1,E6)","Unknown5","121","7","642","1235"
"46(1,F6)","Unknown6","85","7","81","1210"
"47(1,G6)","Unknown7","55","7","826","956"
"50(1,B7)","Unknown8","463","7","1538","620"
"51(1,C7)","Unknown9","13214","483","21401","1227"
"53(1,E7)","Unknown10","16883","37","21835","1128"
"54(1,F7)","Unknown11","14180","138.5","18816","1079"
"55(1,G7)","Unknown12","9442","2788","17735","1099"
"58(1,B8)","Unknown13","117.5","7","599","1210"
"59(1,C8)","Unknown14","276","7","188","1079"
"60(1,D8)","Unknown15","2468","13","6661.5","1134"
"61(1,E8)","Unknown16","141","7","1310","1313"
"62(1,F8)","Unknown17","143.5","7","94","841"
"63(1,G8)","Unknown18","54","6","120","810"
"65(1,A9)","Unknown19","1999","14","16377.5","1385"
"66(1,B9)","Unknown20","18211","869","18839","1162"
"67(1,C9)","Unknown21","15333.5","838","22571","1237"
"68(1,D9)","Unknown22","17127","445","19506.5","1278"
"69(1,E9)","Unknown23","10065","94","20980","1144"
"70(1,F9)","Unknown24","6056","51","17510","1111"
"71(1,G9)","Unknown25","22","7","382.5","898"
"73(1,A10)","Unknown26","13","6","78","1466"
"74(1,B10)","Unknown27","449","568","307","1277"
"75(1,C10)","Unknown28","329","561","272","1255"
"76(1,D10)","Unknown29","3777","6694","5477.5","1860"
"77(1,E10)","Unknown30","1481","2738","1509","1342"
"78(1,F10)","Unknown31","1543","2715","1603.5","1415"
